Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Guernsey,,35326,54796,,,,67,104,,,
North Macedonia,Europe,352093,16900,,,,9991,480,,,
Brunei Darussalam,Western Pacific,350550,80130,,,,182,42,,,
Zambia,Africa,349892,1903,,,,4078,22,,,
Haiti,Americas,34901,306,0,,0,860,8,0,,0
Faroe Islands,,34658,70926,,,,28,57,,,
Republic of Korea,Western Pacific,34571873,67432,,,,35934,70,,,
Denmark,Europe,3449990,59250,241,4,241,10012,172,,,
Kenya,Africa,344137,640,,,,5689,11,,,
Saint Pierre and Miquelon,,3426,59120,,,,2,35,,,
Japan,Western Pacific,33803572,26727,,,,74694,59,,,
Albania,Europe,337215,11718,,,,3608,125,,,
Mauritius,Africa,332086,26112,,,,1074,84,,,
Mali,Africa,33197,164,,,,743,4,,,
Botswana,Africa,330699,14063,,,,2801,119,,,
Micronesia (Federated States of),Western Pacific,31765,27616,,,,62,54,,,
Cayman Islands,Americas,31472,47888,,,,37,56,,,
Saint Lucia,Americas,30253,16475,0,,0,410,223,0,,0
Singapore,Western Pacific,3006155,51384,,,,2024,35,,,
Tuvalu,Western Pacific,2943,24958,,,,1,8,,,
International commercial vessel,Other,29,,,,,0,,,,
Benin,Africa,28036,231,,,,163,1,,,
Sweden,Europe,2779869,26917,304,3,304,28971,281,9,,9
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Europe,274279,15274,,,,3212,179,,,
Somalia,Eastern Mediterranean,27334,172,,,,1361,9,,,
Algeria,Africa,272421,621,,,,6881,16,,,
Italy,Europe,26968605,45218,,,,198523,333,,,
Nigeria,Africa,267227,130,,,,3155,2,,,
New Zealand,Western Pacific,2668236,55332,,,,4538,94,,,
Zimbabwe,Africa,266436,1793,,,,5740,39,,,
Holy See,,26,3214,,,,0,,,,
Solomon Islands,Western Pacific,25954,3779,,,,199,29,,,
Serbia,Europe,2567986,37074,4,,4,18057,261,,,
United States Virgin Islands,Americas,25389,24313,,,,132,126,,,
San Marino,Europe,25292,74524,,,,126,371,,,
Congo,Africa,25234,457,,,,389,7,,,
Montenegro,Europe,251280,40009,,,,2654,423,,,
United Kingdom of Great Britain and Northern Ireland,Europe,25089962,36959,3369,5,3369,232112,342,,,
Russian Federation,Europe,24901467,17063,,,,404290,277,,,
Iraq,Eastern Mediterranean,2465545,6130,,,,25375,63,,,
Afghanistan,Eastern Mediterranean,235214,604,,,,7998,21,,,
Timor-Leste,South-East Asia,23460,1779,,,,138,10,,,
Mozambique,Africa,233909,748,,,,2252,7,,,
Martinique,,230354,61384,,,,1104,294,,,
Hungary,Europe,2238925,22917,213,2,213,49124,503,,,
Burkina Faso,Africa,22216,106,,,,400,2,,,
Lao People's Democratic Republic,Western Pacific,219060,3011,,,,671,9,,,
Saint Helena,,2166,35678,,,,0,,,,
Liechtenstein,,21633,55831,3,8,3,89,230,0,,0
Iceland,Europe,211085,57969,12,3,12,186,51,,,
Gibraltar,,20550,60996,,,,113,335,,,
Bangladesh,South-East Asia,2052275,1246,,,,29531,18,,,
Guadeloupe,,203235,50793,,,,1021,255,,,
El Salvador,Americas,202066,3115,0,,0,4230,65,,,
International conveyance (Kiribati),Other,2,,,,,0,,,,
Grenada,Americas,19693,17501,,,,238,212,,,
Falkland Islands (Malvinas),,1923,55211,,,,0,,,,
Trinidad and Tobago,Americas,191496,13683,,,,4390,314,,,
Slovakia,Europe,1887443,34582,282,5,282,21287,390,3,,3
South Sudan,Africa,18873,169,,,,147,1,,,
Bermuda,Americas,18860,30286,,,,165,265,,,
Maldives,South-East Asia,186694,34538,,,,316,58,,,
Georgia,Europe,1864386,46736,0,,0,17151,430,,,
Tajikistan,Europe,17786,186,,,,125,1,,,
Ireland,Europe,1763107,35515,414,8,414,9879,199,,,
Uzbekistan,Europe,175158,523,,,,1016,3,,,
Jordan,Eastern Mediterranean,1746997,17122,,,,14122,138,,,
Ghana,Africa,172750,556,,,,1463,5,,,
Namibia,Africa,172557,6791,,,,4110,162,,,
Uganda,Africa,172217,377,,,,3632,8,,,
Monaco,Europe,17181,43780,,,,67,171,,,
Equatorial Guinea,Africa,17130,1221,,,,183,13,,,
Samoa,Western Pacific,17057,8597,,,,31,16,,,
T�rkiye,Europe,17004724,20162,0,,0,101419,120,,,
Tonga,Western Pacific,16992,16076,,,,13,12,,,
Nicaragua,Americas,16398,248,,,,245,4,,,
Marshall Islands,Western Pacific,16297,27532,,,,17,29,,,
Dominica,Americas,16047,22290,0,,0,74,103,0,,0
Pakistan,Eastern Mediterranean,1580631,716,,,,30656,14,,,
Jamaica,Americas,157655,5324,1,,1,3634,123,0,,0
Djibouti,Eastern Mediterranean,15690,1588,,,,189,19,,,
Central African Republic,Africa,15486,321,,,,113,2,,,
Norway,Europe,1544694,28778,472,9,472,5732,107,,,
Finland,Europe,1513847,27398,157,3,157,11466,208,,,
Kazakhstan,Europe,1504370,8012,,,,19072,102,,,
Northern Mariana Islands,Western Pacific,14985,26035,,,,41,71,,,
Lithuania,Europe,1442520,51628,1,,1,9892,354,4,,4
Montserrat,Americas,1403,28066,,,,8,160,,,
Spain,Europe,13980340,29536,,,,121852,257,,,
Cambodia,Western Pacific,139326,833,,,,3056,18,,,
Croatia,Europe,1365291,33643,1469,36,1469,18797,463,2,,2
Slovenia,Europe,1364482,65104,273,13,273,9914,473,,,
Bulgaria,Europe,1339759,19273,200,3,200,38770,558,,,
Rwanda,Africa,133274,1029,,,,1468,11,,,
Morocco,Eastern Mediterranean,1279115,3465,,,,16305,44,,,
Gambia,Africa,12627,522,,,,372,15,,,
Guatemala,Americas,1254550,7003,0,,0,20205,113,0,,0
Cameroon,Africa,125317,472,,,,1974,7,,,
Puerto Rico,Americas,1252713,43788,,,,5938,208,,,
Malta,Europe,125085,24309,22,4,22,1089,212,4,1,4
Costa Rica,Americas,1240821,24358,56,1,56,9391,184,0,,0
Lebanon,Eastern Mediterranean,1239904,18166,,,,10947,160,,,
Saint Martin (French part),,12324,31879,,,,46,119,,,
Bolivia (Plurinational State of),Americas,1212173,10384,0,,0,22389,192,0,,0
Vanuatu,Western Pacific,12019,3913,,,,14,5,,,
International conveyance (Vanuatu),Other,12,,,,,0,,,,
Greenland,Europe,11971,21086,,,,21,37,,,
Yemen,Eastern Mediterranean,11945,40,,,,2159,7,,,
"Bonaire, Saint Eustatius and Saba",Americas,11922,,,,,41,,,,
Australia,Western Pacific,11861161,46515,,,,25236,99,,,
Viet Nam,Western Pacific,11624000,11942,,,,43206,44,,,
Tunisia,Eastern Mediterranean,1153361,9759,,,,29423,249,,,
Cuba,Americas,1113809,9834,,,,8530,75,,,
Sint Maarten (Dutch part),Americas,11051,25771,,,,92,215,,,
Niue,Western Pacific,1092,67491,,,,0,,,,
Barbados,Americas,109104,37966,17,6,17,593,206,,,
Ecuador,Americas,1080371,6123,,,,36060,204,,,
Angola,Africa,107487,327,,,,1937,6,,,
United Arab Emirates,Eastern Mediterranean,1067030,10789,,,,2349,24,,,
Panama,Americas,1045625,24234,,,,8819,204,,,
Uruguay,Americas,1042942,30024,17,,17,7695,222,0,,0
United States of America,Americas,103436829,31250,,,,1228289,371,,,
Eritrea,Africa,10189,287,,,,103,3,,,
Argentina,Americas,10115705,22382,199,,199,130806,289,4,,4
Mongolia,Western Pacific,1011489,30854,,,,2136,65,,,
Democratic Republic of the Congo,Africa,101010,113,,,,1474,2,,,
Nepal,South-East Asia,1003946,3446,,,,12034,41,,,
Democratic People's Republic of Korea,South-East Asia,0,,,,,0,,,,
Turkmenistan,Europe,0,,,,,0,,,,
